Accession,Subtype,Source Location,Locus,Version,Definition,Source,Organism,Sequence Length,GenBank File,source:clone,source:collection_date,source:db_xref,source:geo_loc_name,source:host,source:isolate,source:isolation_source,source:mol_type,source:note,source:organism,source:serotype,source:strain,source:tissue_type
JF735122,3k,1..9660,JF735122,JF735122.1,"Hepatitis C virus isolate QC105, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9616,subtype_files/JF735122.gb,,,taxon:3052230,Canada,Homo sapiens,QC105,serum from a patient infected with HCV,genomic RNA,genotype: 3k,Orthohepacivirus hominis,,,
Y11604,4a,1..9355,Y11604,Y11604.1,Hepatitis C virus type 4a RNA for HCV polyprotein.,Hepatitis C virus ED43,Hepatitis C virus ED43 Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9355,subtype_files/Y11604.gb,,,taxon:356418,,,ED43 genotype 4A,,genomic RNA,,Hepatitis C virus ED43,,,
FJ462435,4b,1..9440,FJ462435,FJ462435.1,"Hepatitis C virus isolate QC264, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9427,subtype_files/FJ462435.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC264,serum sample of African immigrant,genomic RNA,genotype: 4b,Orthohepacivirus hominis,,,
FJ462436,4c,1..9468,FJ462436,FJ462436.1,"Hepatitis C virus isolate QC381, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9447,subtype_files/FJ462436.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC381,serum sample of African immigrant,genomic RNA,genotype: 4c,Orthohepacivirus hominis,,,
DQ418786,4d,1..9273,DQ418786,DQ418786.1,"Hepatitis C virus subtype 4d isolate 03-18 polyprotein gene, complete cds.",Hepatitis C virus subtype 4d,Hepatitis C virus subtype 4d Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9265,subtype_files/DQ418786.gb,,,taxon:128819,"USA: Boston, MA",,03-18,,genomic RNA,genotype: 4,Hepatitis C virus subtype 4d,,,
FJ462437,4d,1..9421,FJ462437,FJ462437.1,"Hepatitis C virus isolate QC382, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9410,subtype_files/FJ462437.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC382,serum sample of African immigrant,genomic RNA,genotype: 4d,Orthohepacivirus hominis,,,
EF589161,4f,1..9304,EF589161,EF589161.1,"Hepatitis C virus subtype 4f strain IFBT88 polyprotein gene, partial cds.",Hepatitis C virus subtype 4f,Hepatitis C virus subtype 4f Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9278,subtype_files/EF589161.gb,,,taxon:44023,France,,,blood serum,genomic RNA,subtype: 4f; genotype: 4,Hepatitis C virus subtype 4f,,IFBT88,
EU392175,4f,1..9297,EU392175,EU392175.1,"Hepatitis C virus isolate PS6 genotype 4f polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9287,subtype_files/EU392175.gb,,,taxon:3052230,,,PS6,plasma,genomic RNA,genotype: 4f,Orthohepacivirus hominis,,,
FJ462432,4g,1..9435,FJ462432,FJ462432.1,"Hepatitis C virus isolate QC193, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9417,subtype_files/FJ462432.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC193,serum sample of African immigrant,genomic RNA,genotype: 4g,Orthohepacivirus hominis,,,
EU392173,4k,1..9312,EU392173,EU392173.1,"Hepatitis C virus isolate PS3 genotype 4k polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9311,subtype_files/EU392173.gb,,,taxon:3052230,,,PS3,plasma,genomic RNA,genotype: 4k,Orthohepacivirus hominis,,,
FJ462438,4k,1..9438,FJ462438,FJ462438.1,"Hepatitis C virus isolate QC383, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9401,subtype_files/FJ462438.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC383,serum sample of African immigrant,genomic RNA,genotype: 4k,Orthohepacivirus hominis,,,
FJ839870,4l,1..9388,FJ839870,FJ839870.1,"Hepatitis C virus isolate QC274, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9378,subtype_files/FJ839870.gb,,,taxon:3052230,Canada,Homo sapiens (African immigrant),QC274,serum,genomic RNA,genotype: 4l,Orthohepacivirus hominis,,,
FJ462433,4m,1..9425,FJ462433,FJ462433.1,"Hepatitis C virus isolate QC249, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9386,subtype_files/FJ462433.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC249,serum sample of African immigrant,genomic RNA,genotype: 4m,Orthohepacivirus hominis,,,
FJ462441,4n,1..9435,FJ462441,FJ462441.1,"Hepatitis C virus isolate QC97, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9405,subtype_files/FJ462441.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC97,serum sample of African immigrant,genomic RNA,genotype: 4n,Orthohepacivirus hominis,,,
FJ462440,4o,1..9422,FJ462440,FJ462440.1,"Hepatitis C virus isolate QC93, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9390,subtype_files/FJ462440.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC93,serum sample of African immigrant,genomic RNA,genotype: 4o,Orthohepacivirus hominis,,,
FJ462431,4p,1..9475,FJ462431,FJ462431.1,"Hepatitis C virus isolate QC139, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9469,subtype_files/FJ462431.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC139,serum sample of African immigrant,genomic RNA,genotype: 4p,Orthohepacivirus hominis,,,
FJ462434,4q,1..9433,FJ462434,FJ462434.1,"Hepatitis C virus isolate QC262, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9401,subtype_files/FJ462434.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC262,serum sample of African immigrant,genomic RNA,genotype: 4q,Orthohepacivirus hominis,,,
FJ462439,4r,1..9440,FJ462439,FJ462439.1,"Hepatitis C virus isolate QC384, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9392,subtype_files/FJ462439.gb,,,taxon:3052230,Canada: Quebec,Homo sapiens,QC384,serum sample of African immigrant,genomic RNA,genotype: 4r,Orthohepacivirus hominis,,,
JF735136,4s,1..9426,JF735136,JF735136.1,"Hepatitis C virus isolate QC361, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9394,subtype_files/JF735136.gb,,,taxon:3052230,Canada,Homo sapiens,QC361,serum from a patient infected with HCV,genomic RNA,genotype: 4,Orthohepacivirus hominis,,,
FJ839869,4t,1..9488,FJ839869,FJ839869.1,"Hepatitis C virus isolate QC155, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9475,subtype_files/FJ839869.gb,,,taxon:3052230,Canada,Homo sapiens (African immigrant),QC155,serum,genomic RNA,genotype: 4t,Orthohepacivirus hominis,,,
HQ537009,4v,1..9177,HQ537009,HQ537009.1,"Hepatitis C virus isolate CYHCV073 polyprotein gene, partial cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9172,subtype_files/HQ537009.gb,,13-Feb-2006,taxon:3052230,Cyprus,Homo sapiens,CYHCV073,,genomic RNA,genotype: 4,Orthohepacivirus hominis,,,
JX227959,4v,1..9323,JX227959,JX227959.1,"Hepatitis C virus subtype 4v isolate HCV-4v/GB/BID-G1248, complete genome.",Hepatitis C virus subtype 4v,Hepatitis C virus subtype 4v Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9323,subtype_files/JX227959.gb,,,taxon:1208062,United Kingdom,Homo sapiens,HCV-4v/GB/BID-G1248,plasma,genomic RNA,,Hepatitis C virus subtype 4v,,,
FJ025855,4w,1..9242,FJ025855,FJ025855.1,"Hepatitis C virus strain P212 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9153,subtype_files/FJ025855.gb,,,taxon:3052230,Portugal,,,plasma,genomic RNA,subtype: 4b,Orthohepacivirus hominis,,P212,
FJ025856,4w,1..9271,FJ025856,FJ025856.1,"Hepatitis C virus strain P245 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9231,subtype_files/FJ025856.gb,,,taxon:3052230,Portugal,,,plasma,genomic RNA,subtype: 4b,Orthohepacivirus hominis,,P245,
Y13184,5a,1..9343,Y13184,Y13184.1,Hepatitis C virus genotype 5a RNA for HCV polyprotein.,Hepatitis C virus (isolate EUH1480),Hepatitis C virus (isolate EUH1480) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9343,subtype_files/Y13184.gb,,,taxon:356419,,,,,genomic RNA,Hepatitis C virus subtype 5a,Hepatitis C virus (isolate EUH1480),,EUH1480,
AF064490,5a,1..9408,AF064490,AF064490.1,"Hepatitis C virus (isolate SA13) polyprotein gene, complete cds.",Hepatitis C virus SA13,Hepatitis C virus SA13 Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9403,subtype_files/AF064490.gb,,,taxon:356390,,,,,genomic RNA,genotype: 5a,Hepatitis C virus SA13,,SA13,
PQ899568,5b,1..9481,PQ899568,PQ899568.1,"Orthohepacivirus hominis isolate QC757 polyprotein (POLY) gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9468,subtype_files/PQ899568.gb,,2014,taxon:3052230,Canada: Quebec,Homo sapiens,QC757,plasma,genomic RNA,emigrant from West Africa; genotype: 5; subtype 5b,Orthohepacivirus hominis,,,
Y12083,6a,1..9340,Y12083,Y12083.1,Hepatitis C virus genotype 6a RNA for HCV polyprotein.,Hepatitis C virus (isolate EUHK2),Hepatitis C virus (isolate EUHK2) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9340,subtype_files/Y12083.gb,,,taxon:356420,,,,,genomic RNA,,Hepatitis C virus (isolate EUHK2),,euhk2,
AY859526,6a,1..9355,AY859526,AY859526.1,"Hepatitis C virus (isolate 6a33), complete genome.",Hepatitis C virus (isolate 6a33),Hepatitis C virus (isolate 6a33) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9354,subtype_files/AY859526.gb,,,taxon:356391,Hong Kong,,,patient resistant to IFN combo treatment,genomic RNA,genotype: 6a,Hepatitis C virus (isolate 6a33),,6a33,
D84262,6b,1..9628,D84262,D84262.2,"Hepatitis C virus (isolate Th580) genomic RNA, complete genome.",Hepatitis C virus (isolate Th580),Hepatitis C virus (isolate Th580) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9628,subtype_files/D84262.gb,,,taxon:356421,,,Th580,,genomic RNA,,Hepatitis C virus (isolate Th580),,,
EF424629,6c,1..9459,EF424629,EF424629.1,"Hepatitis C virus subtype 6c isolate Th846, complete genome.",Hepatitis C virus subtype 6c,Hepatitis C virus subtype 6c Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9434,subtype_files/EF424629.gb,,,taxon:438880,Thailand,,Th846,serum of a commercial blood donor,genomic RNA,genotype: 6c,Hepatitis C virus subtype 6c,,,
D84263,6d,1..9615,D84263,D84263.2,"Hepatitis C virus (isolate VN235) genomic RNA, complete genome.",Hepatitis C virus (isolate VN235),Hepatitis C virus (isolate VN235) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9615,subtype_files/D84263.gb,,,taxon:356422,,,VN235,,genomic RNA,,Hepatitis C virus (isolate VN235),,,
DQ314805,6e,1..9468,DQ314805,DQ314805.1,"Hepatitis C virus subtype 6e isolate GX004, complete genome.",Hepatitis C virus subtype 6e,Hepatitis C virus subtype 6e Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9454,subtype_files/DQ314805.gb,,,taxon:413255,China: Guangxi,,GX004,serum of an injection drug user coinfected with HIV,genomic RNA,genotype: 6e,Hepatitis C virus subtype 6e,,,
DQ835760,6f,1..9454,DQ835760,DQ835760.1,"Hepatitis C virus subtype 6f isolate C-0044, complete genome.",Hepatitis C virus subtype 6f,Hepatitis C virus subtype 6f Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9442,subtype_files/DQ835760.gb,,,taxon:467354,Thailand,,C-0044,"serum of the wife of a Thai blood donor, C-0046",genomic RNA,genotype: 6f,Hepatitis C virus subtype 6f,,,
D63822,6g,1..9461,HPCJK046E2,D63822.1,"Hepatitis C virus (isolate JK046) genomic RNA, complete genome.",Hepatitis C virus (isolate JK046),Hepatitis C virus (isolate JK046) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9461,subtype_files/D63822.gb,,,taxon:356423,,,JK046,,genomic RNA,,Hepatitis C virus (isolate JK046),,,
D84265,6h,1..9621,D84265,D84265.2,"Hepatitis C virus (isolate VN004) genomic RNA, complete genome.",Hepatitis C virus (isolate VN004),Hepatitis C virus (isolate VN004) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9621,subtype_files/D84265.gb,,,taxon:356424,,,VN004,,genomic RNA,,Hepatitis C virus (isolate VN004),,,
DQ835770,6i,1..9447,DQ835770,DQ835770.1,"Hepatitis C virus subtype 6i isolate Th602, complete genome.",Hepatitis C virus subtype 6i,Hepatitis C virus subtype 6i Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9403,subtype_files/DQ835770.gb,,,taxon:467337,Thailand,,Th602,serum of a Thai patient with hepatitis C,genomic RNA,genotype: 6i,Hepatitis C virus subtype 6i,,,
DQ835769,6j,1..9454,DQ835769,DQ835769.1,"Hepatitis C virus subtype 6j isolate Th553, complete genome.",Hepatitis C virus subtype 6j,Hepatitis C virus subtype 6j Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9407,subtype_files/DQ835769.gb,,,taxon:467338,Thailand,,Th553,serum of a Thai patient with hepatitis C,genomic RNA,genotype: 6j,Hepatitis C virus subtype 6j,,,
D84264,6k,1..9601,D84264,D84264.2,"Hepatitis C virus (isolate VN405) genomic RNA, complete genome.",Hepatitis C virus (isolate VN405),Hepatitis C virus (isolate VN405) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9601,subtype_files/D84264.gb,,,taxon:356425,,,VN405,,genomic RNA,,Hepatitis C virus (isolate VN405),,,
EF424628,6l,1..9453,EF424628,EF424628.1,"Hepatitis C virus subtype 6l isolate 537796, complete genome.",Hepatitis C virus subtype 6l,Hepatitis C virus subtype 6l Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9393,subtype_files/EF424628.gb,,,taxon:413256,USA,,537796,serum of an Asian immigrant,genomic RNA,genotype: 6l,Hepatitis C virus subtype 6l,,,
DQ835767,6m,1..9444,DQ835767,DQ835767.1,"Hepatitis C virus subtype 6m isolate B4/92, complete genome.",Hepatitis C virus subtype 6m,Hepatitis C virus subtype 6m Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9376,subtype_files/DQ835767.gb,,,taxon:378507,Thailand,,B4/92,"serum of a Thai blood donor, B4/92",genomic RNA,genotype: 6m,Hepatitis C virus subtype 6m,,,
DQ278894,6n,1..9441,DQ278894,DQ278894.1,"Hepatitis C virus subtype 6n isolate KM42, complete genome.",Hepatitis C virus subtype 6n,Hepatitis C virus subtype 6n Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9426,subtype_files/DQ278894.gb,,,taxon:378506,China: Kunming,,KM42,serum from a patient with chronic hepatitis,genomic RNA,genotype: 6n,Hepatitis C virus subtype 6n,,,
DQ835768,6n,1..9447,DQ835768,DQ835768.1,"Hepatitis C virus subtype 6n isolate D86/93, complete genome.",Hepatitis C virus subtype 6n,Hepatitis C virus subtype 6n Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9445,subtype_files/DQ835768.gb,,,taxon:378506,Thailand,,D86/93,serum of a Thai injection drug user,genomic RNA,genotype: 6n,Hepatitis C virus subtype 6n,,,
EF424627,6o,1..9450,EF424627,EF424627.1,"Hepatitis C virus subtype 6o isolate QC227, complete genome.",Hepatitis C virus subtype 6o,Hepatitis C virus subtype 6o Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9388,subtype_files/EF424627.gb,,,taxon:413257,Canada,,QC227,serum of Caucasian with post-transfusional hepatitis,genomic RNA,genotype: 6o,Hepatitis C virus subtype 6o,,,
EF424626,6p,1..9453,EF424626,EF424626.1,"Hepatitis C virus subtype 6p isolate QC216, complete genome.",Hepatitis C virus subtype 6p,Hepatitis C virus subtype 6p Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9414,subtype_files/EF424626.gb,,,taxon:438881,Canada,,QC216,serum of a Vietnamese immigrant,genomic RNA,genotype: 6p,Hepatitis C virus subtype 6p,,,
EF424625,6q,1..9463,EF424625,EF424625.1,"Hepatitis C virus subtype 6q isolate QC99, complete genome.",Hepatitis C virus subtype 6q,Hepatitis C virus subtype 6q Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9299,subtype_files/EF424625.gb,,,taxon:467339,Canada,,QC99,serum of a Cambodian immigrant,genomic RNA,genotype: 6q,Hepatitis C virus subtype 6q,,,
EU408328,6r,1..9449,EU408328,EU408328.1,"Hepatitis C virus isolate QC245 polyprotein precursor, gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9436,subtype_files/EU408328.gb,,,taxon:3052230,Canada,,QC245,serum of an Asian immigrant,genomic RNA,genotype: 6r,Orthohepacivirus hominis,,,
EU408329,6s,1..9473,EU408329,EU408329.1,"Hepatitis C virus isolate QC66 polyprotein precursor, gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9431,subtype_files/EU408329.gb,,,taxon:3052230,Canada,,QC66,serum of an Asian immigrant,genomic RNA,genotype: 6s,Orthohepacivirus hominis,,,
EF632071,6t,1..9406,EF632071,EF632071.1,"Hepatitis C virus isolate VT21, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9382,subtype_files/EF632071.gb,,,taxon:3052230,Viet Nam,,VT21,serum sample of an HCV carrier with AIDS and tuberculosis,genomic RNA,genotype: 6t,Orthohepacivirus hominis,,,
EU246939,6t,1..9364,EU246939,EU246939.1,"Hepatitis C virus strain D49 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9342,subtype_files/EU246939.gb,,,taxon:3052230,Viet Nam: Ho Chi Minh City,,,blood donor serum,genomic RNA,genotype: 6,Orthohepacivirus hominis,,D49,
EU246940,6u,1..9367,EU246940,EU246940.1,"Hepatitis C virus strain D83 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9364,subtype_files/EU246940.gb,,,taxon:3052230,Viet Nam: Ho Chi Minh City,,,blood donor serum,genomic RNA,genotype: 6,Orthohepacivirus hominis,,D83,
EU158186,6v,1..9429,EU158186,EU158186.1,"Hepatitis C virus isolate NK46, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9427,subtype_files/EU158186.gb,NK46-1; NK46-2; NK46-3; NK46-4,Aug-2004,taxon:3052230,China,,NK46,serum from female,genomic RNA,subtype: 6v,Orthohepacivirus hominis,,,
EU798760,6v,1..9461,EU798760,EU798760.1,"Hepatitis C virus subtype 6v isolate KMN-02 polyprotein precursor, gene, complete cds.",Hepatitis C virus subtype 6v,Hepatitis C virus subtype 6v Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9413,subtype_files/EU798760.gb,,,taxon:569610,China,,KMN-02,serum of a voluntary blood donor,genomic RNA,subtype: 6v,Hepatitis C virus subtype 6v,,,
DQ278892,6w,1..9448,DQ278892,DQ278892.1,"Hepatitis C virus isolate GZ52557, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9444,subtype_files/DQ278892.gb,,,taxon:3052230,China: Guangzhou,,GZ52557,serum sample from patient with chronic hepatitis,genomic RNA,unassigned novel subtype of genotype 6,Orthohepacivirus hominis,,,
EU643834,6w,1..9147,EU643834,EU643834.1,"Hepatitis C virus isolate HCV-6-D140 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9147,subtype_files/EU643834.gb,,,taxon:3052230,Taiwan,,HCV-6-D140,,genomic RNA,subtype: 6,Orthohepacivirus hominis,,,
EU408330,6xa,1..9451,EU408330,EU408330.1,"Hepatitis C virus isolate DH012 polyprotein precursor, gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9437,subtype_files/EU408330.gb,,,taxon:3052230,China,,DH012,serum of a patient coinfected with HCV and HIV-1,genomic RNA,genotype: 6u,Orthohepacivirus hominis,,,
EU408332,6xa,1..9443,EU408332,EU408332.1,"Hepatitis C virus isolate DH028 polyprotein precursor, gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9397,subtype_files/EU408332.gb,,,taxon:3052230,China,,DH028,serum of a patient coinfected with HCV and HIV-1,genomic RNA,genotype: 6u,Orthohepacivirus hominis,,,
JX183552,6xb,1..9533,JX183552,JX183552.1,"Hepatitis C virus isolate TV476, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9469,subtype_files/JX183552.gb,,,taxon:3052230,Viet Nam: Ho Chi Minh City,Homo sapiens,TV476,blood donor,genomic RNA,genotype: 6k-related,Orthohepacivirus hominis,,,
